actor	42	Willingham, Justin	Baseball Player
actor	42	Wilson, Todd	Reporter Four
movie	A Bronx Tale	1993
director	A Bronx Tale	De Niro, Robert
actress	A Bronx Tale	Abassi, Elizabeth	Lady in Window
actress	A Bronx Tale	Bernardini, Ida	Fish Store Customer
actress	A Bronx Tale	Brooks, Kacy	Doo Wop Group
actress	A Bronx Tale	Degrass, Emily	Chez Bippy Customer
actress	A Bronx Tale	Hicks, Taral	Jane
actress	A Bronx Tale	Lalicata, Linda	Chez Bippy Customer
actress	A Bronx Tale	Narducci, Kathrine	Rosina
actress	A Bronx Tale	Palminteri, Gianna	Tina
actress	A Bronx Tale	von Arx, Nina	Rachel
actor	A Bronx Tale	Anannlin, Macky	Chez Bippy Customer
actor	A Bronx Tale	Antley, Chris	Jockey
actor	A Bronx Tale	Attanasio, Albert	Capo
actor	A Bronx Tale	Bailey, Sobe	Willy
actor	A Bronx Tale	Batiste, David	Angry Neighbor
actor	A Bronx Tale	Beansie	Chez Bippy Customer
actor	A Bronx Tale	Black, Joe	Murdered Man
actor	A Bronx Tale	Blair, Nicky	Jerry
actor	A Bronx Tale	Bonge, Steve	Satan's Messengers
actor	A Bronx Tale	Borriello, Patrick	Slick
actor	A Bronx Tale	Brancato, Lillo	Calogero
actor	A Bronx Tale	Cafariella, Mark	Satan's Messengers
actor	A Bronx Tale	Calvacca Jr., Joe	Doo Wop Group
actor	A Bronx Tale	Capra, Francis	Calogero
actor	A Bronx Tale	Caserta Jr., Clem	Pizza Man
actor	A Bronx Tale	Caserta Jr., Frank	Soldier
actor	A Bronx Tale	Caserta Sr., Frank	Old Gee
actor	A Bronx Tale	Caserta, Clem	Jimmy Whispers
actor	A Bronx Tale	Cestaro, Sal	Coffeemaker
actor	A Bronx Tale	Conti, Frank	Fish Store Owner
actor	A Bronx Tale	Cordeiro, Tony	Jockey
actor	A Bronx Tale	Corozzo, Anthony	Chez Bippy Customer
actor	A Bronx Tale	Cruguet, Jean	Jockey
actor	A Bronx Tale	D'Andrea, Robert	Tony Toupee
actor	A Bronx Tale	D'Angelo, Luigi	Aldo
actor	A Bronx Tale	D'Onofrio, Joseph	Slick
actor	A Bronx Tale	De Niro, Robert	Lorenzo
actor	A Bronx Tale	DeDomenico, Richard	Priest
actor	A Bronx Tale	Derian, Ed	Fight Announcer
actor	A Bronx Tale	Domey, Greg	Satan's Messengers
actor	A Bronx Tale	Ekoku, A.J.	A. J.
actor	A Bronx Tale	Etergineoso, Anthony	Doo Wop Group
actor	A Bronx Tale	Etergineoso, Louis	Doo Wop Group
actor	A Bronx Tale	Fischer, Fred	JoJo the Whale
actor	A Bronx Tale	Foglia, Phil	Detective Vella
actor	A Bronx Tale	Ford, Thomas A.	Phil the Peddler
actor	A Bronx Tale	Garbarino, Philip	Sonny's Killer
actor	A Bronx Tale	Garcia, Butch	Satan's Messengers
actor	A Bronx Tale	Genovino, Max	Louie Dumps
actor	A Bronx Tale	Gioia, Louis	Last Rites Priest
actor	A Bronx Tale	Graell, Antonio	Jockey
actor	A Bronx Tale	Grant, Darell	Doo Wop Group
actor	A Bronx Tale	Guardino, Larry	Bartender
actor	A Bronx Tale	Hurst, Sonny	Satan's Messengers
actor	A Bronx Tale	Kendall, Steve	Red Beard
actor	A Bronx Tale	Kolpan, Mitch	Detective Belsik
actor	A Bronx Tale	Laham, Joe	Doo Wop Group
actor	A Bronx Tale	Lange, Alan	Doo Wop Group
actor	A Bronx Tale	Lederman, Larry	Racetrack Announcer
actor	A Bronx Tale	Lombardozzi, Domenick	Nicky Zero
actor	A Bronx Tale	Matra, Rocco 'Girffe'	Soldier
actor	A Bronx Tale	Meighan, Jason	Doo Wop Group
actor	A Bronx Tale	Migliore, Richard	Jockey
actor	A Bronx Tale	Montanaro, Eddie	Eddie Mush
actor	A Bronx Tale	Morigi, Mike	Chez Bippy Customer
actor	A Bronx Tale	Motts, Johnny	Chez Bippy Customer
actor	A Bronx Tale	Napolitano, Ralph	Gino
actor	A Bronx Tale	Palminteri, Chazz	Sonny
actor	A Bronx Tale	Parente, Rocco	Driver
actor	A Bronx Tale	Pastore, Garry	Chez Bippy Customer
actor	A Bronx Tale	Pendleton, Steve	Satan's Messengers
actor	A Bronx Tale	Perri, Paul	Crazy Mario
actor	A Bronx Tale	Pesci, Joe	Carmine
actor	A Bronx Tale	Pietrangolare, Frank	Danny K.O
actor	A Bronx Tale	Ranieri, Richie	Bodyguard
actor	A Bronx Tale	Rocchio, Dominick	Ralphie
actor	A Bronx Tale	Salerno, Dave	Frankie Coffeecake
